product_id,product_name,img_url,category,currency,price,standardised_price_eur,color,fit,composition,gender,country,region,brand_name,shop,sizes,standard_sizes,min_size,max_size,style label,material quality label,XXS,XS,S,M,L,XL,2XL,3XL,4XL,5XL,6XL
200779584,Armani Exchange central text graphic T-shirt in white,images.asos-media.com/products/armani-exchange-central-text-graphic-t-shirt-in-white/200779584-1-white,tshirts,USD,52.8,49.104,white,regular fit, cotton,male,usa,usa,Armani Exchange,Asos,"XS, S, M, L, XL",L/ M/ XS/ XL/ S,XS,XL,casual,low,0,1,1,1,1,1,0,0,0,0,0
201522430,Boss Bodywear raglan long sleeve t-shirt in gray,images.asos-media.com/products/boss-bodywear-raglan-long-sleeve-t-shirt-in-gray/201522430-1-grey,tshirts,USD,78,72.54,gray,regular fit, cotton   modal   elastane,male,usa,usa,BOSS Bodywear,Asos,XL,XL,XL,XL,casual,low,0,0,0,0,0,1,0,0,0,0,0
203363303,BOSS Bodywear 3-pack T-shirts in blue tones,images.asos-media.com/products/boss-bodywear-3-pack-t-shirts-in-blue-tones/203363303-1-multi,tshirts,USD,65,60.45,multi,regular fit, cotton   spandex,male,usa,usa,BOSS Bodywear,Asos,XS,XS,XS,XS,basic,medium,0,1,0,0,0,0,0,0,0,0,0
204309654,BOSS Bodywear waffle t-shirt in blue,images.asos-media.com/products/boss-bodywear-waffle-t-shirt-in-blue/204309654-1-blue,tshirts,USD,68,63.24,blue,regular fit, cotton   polyester,male,usa,usa,BOSS Bodywear,Asos,"S, M, L, XL, 2XL",M/ L/ XL/ S/2XL,S,2XL,casual,medium,0,0,1,1,1,1,1,0,0,0,0
204309501,Boss Bodywear tracksuit jacket in stone,images.asos-media.com/products/boss-bodywear-tracksuit-jacket-in-stone/204309501-1-stone,jackets,USD,103,95.79,stone,slim fit, cotton   spandex,male,usa,usa,BOSS Bodywear,Asos,"S, M, L, XL, 2XL",M/ L/ XL/ S/2XL,S,2XL,casual,high,0,0,1,1,1,1,1,0,0,0,0
204309501,Boss Bodywear tracksuit jacket in stone,images.asos-media.com/products/boss-bodywear-tracksuit-jacket-in-stone/204309501-1-stone,jackets,CNY,420.94,54.722,,slim fit, cotton   elastane,male,china,asia,BOSS Bodywear,Asos,"S, M, L, XL, 2XL",M/ L/ XL/ S/2XL,S,2XL,casual,high,0,0,1,1,1,1,1,0,0,0,0
204309531,BOSS bodywear logo t-shirt in white,images.asos-media.com/products/boss-bodywear-logo-t-shirt-in-white/204309531-1-white,tshirts,USD,61,56.73,white,regular fit, cotton,male,usa,usa,BOSS Bodywear,Asos,"S, M, L, XL, 2XL",M/ L/ XL/ S/2XL,S,2XL,casual,high,0,0,1,1,1,1,1,0,0,0,0
204309531,BOSS Bodywear logo t-shirt in white,images.asos-media.com/products/boss-bodywear-logo-t-shirt-in-white/204309531-1-white,tshirts,NOK,429,36.036,white,regular fit, cotton,male,norway,eu,BOSS Bodywear,Asos,"S, M, L, XL, 2XL",M/ L/ XL/ S/2XL,S,2XL,casual,high,0,0,1,1,1,1,1,0,0,0,0
200518712,BOSS Bodywear zip up sweatshirt in black,images.asos-media.com/products/boss-bodywear-zip-up-sweatshirt-in-black/200518712-1-black,tshirts,USD,77.5,72.075,black,regular fit, cotton   polyester,male,usa,usa,BOSS Bodywear,Asos,"S, M, L, XL, 2XL",M/ L/ XL/ S/2XL,S,2XL,casual,medium,0,0,1,1,1,1,1,0,0,0,0
204309551,BOSS bodywear logo t-shirt in black,images.asos-media.com/products/boss-bodywear-logo-t-shirt-in-black/204309551-1-black,tshirts,USD,37,34.41,black,regular fit, cotton,male,usa,usa,BOSS Bodywear,Asos,"S, M, L, XL, 2XL",M/ L/ XL/ S/2XL,S,2XL,basic,medium,0,0,1,1,1,1,1,0,0,0,0
204309551,BOSS Bodywear logo t-shirt in black,images.asos-media.com/products/boss-bodywear-logo-t-shirt-in-black/204309551-1-black,tshirts,CNY,283.78,36.891,black,regular fit, cotton,male,china,asia,BOSS Bodywear,Asos,"S, M, L, XL, 2XL",M/ L/ XL/ S/2XL,S,2XL,basic,medium,0,0,1,1,1,1,1,0,0,0,0
24230192,BOSS Bodywear side logo sweatpants in green,images.asos-media.com/products/boss-bodywear-side-logo-sweatpants-in-green/24230192-1-green,pants,USD,137,127.41,green,slim fit, lyocell   cotton   elastane,male,usa,usa,BOSS Bodywear,Asos,"S, M, L, XL", S/ XL/ L/M,S,XL,casual,medium,0,0,1,1,1,1,0,0,0,0,0
24226923,BOSS Bodywear chest logo hoodie in navy and white,images.asos-media.com/products/boss-bodywear-chest-logo-hoodie-in-navy-and-white/24226923-1-navy,hoodie,USD,207,192.51,navy,regular fit, lyocell   cotton   elastane,male,usa,usa,BOSS Bodywear,Asos,"S, M, L, XL", S/ XL/ L/M,S,XL,casual,high,0,0,1,1,1,1,0,0,0,0,0
24230183,BOSS Bodywear side logo sweatpants in navy,images.asos-media.com/products/boss-bodywear-side-logo-sweatpants-in-navy/24230183-1-navy,pants,USD,131,121.83,navy,slim fit, lyocell   cotton   elastane,male,usa,usa,BOSS Bodywear,Asos,"S, M, L, XL", S/ XL/ L/M,S,XL,casual,high,0,0,1,1,1,1,0,0,0,0,0
201041898,BOSS Bodywear zip through funnel neck sweatshirt in khaki,images.asos-media.com/products/boss-bodywear-zip-through-funnel-neck-sweatshirt-in-khaki/201041898-1-khaki,tshirts,USD,67.5,62.775,khaki,regular fit, cotton   spandex,male,usa,usa,BOSS Bodywear,Asos,"S, M, L, XL", S/ XL/ L/M,S,XL,casual,high,0,0,1,1,1,1,0,0,0,0,0
24230185,BOSS Bodywear logo hoodie in khaki,images.asos-media.com/products/boss-bodywear-logo-hoodie-in-khaki/24230185-1-khaki,hoodie,USD,172,159.96,khaki,regular fit, lyocell   cotton   elastane,male,usa,usa,BOSS Bodywear,Asos,"S, M, L, XL", S/ XL/ L/M,S,XL,casual,medium,0,0,1,1,1,1,0,0,0,0,0
201041928,BOSS Bodywear Authentic french terry zip up hoodie in gray,images.asos-media.com/products/boss-bodywear-authentic-french-terry-zip-up-hoodie-in-gray/201041928-1-grey,hoodie,USD,65.36,60.785,gray,regular fit, cotton,male,usa,usa,BOSS Bodywear,Asos,"S, M, L, XL", S/ XL/ L/M,S,XL,basic,medium,0,0,1,1,1,1,0,0,0,0,0
201037392,BOSS Weevo 2 relaxed fit sweatshirt with central logo in light green,images.asos-media.com/products/boss-weevo-2-relaxed-fit-sweatshirt-with-central-logo-in-light-green/201037392-1-lightgreen,tshirts,USD,48.98,45.551,light green,None, cotton   polyester,male,usa,usa,BOSS,Asos,"S, M, L, XL, 2XL",M/ L/ XL/ S/2XL,S,2XL,basic,medium,0,0,1,1,1,1,1,0,0,0,0
7299862,BOSS Bodywear 3 pack crew neck t-shirts,images.asos-media.com/products/boss-bodywear-3-pack-crew-neck-t-shirts/7299862-1-white,tshirts,USD,34,31.62,white,regular fit, cotton,male,usa,usa,BOSS Bodywear,Asos,"Chest 46, Chest 48, Chest 50, Chest 52", S/ L/M,S,L,basic,high,0,0,1,1,1,0,0,0,0,0,0
205110286,Calvin Klein Jeans essentials non down long parka jacket in black,images.asos-media.com/products/calvin-klein-jeans-essentials-non-down-long-parka-jacket-in-black/205110286-1-ckblack,jackets,USD,363,337.59,ck black,regular fit, nylon,male,usa,usa,Calvin Klein Jeans,Asos,"S, M, L, XL, 2XL, 3XL",M/ L/ XL/ S/2XL/ 3XL,S,3XL,casual,medium,0,0,1,1,1,1,1,1,0,0,0
205110286,Calvin Klein Jeans essentials non down long parka jacket in black,images.asos-media.com/products/calvin-klein-jeans-essentials-non-down-long-parka-jacket-in-black/205110286-1-ckblack,jackets,NOK,4439,372.876,black,regular fit, nylon,male,norway,eu,Calvin Klein Jeans,Asos,"XXS, XS, S, M, L, XL, 2XL, 3XL",M/ L/ XS/ XXS/ XL/ S/2XL/ 3XL,XXS,3XL,casual,medium,1,1,1,1,1,1,1,1,0,0,0
205191578,Calvin Klein long sleeve T-shirt in white,images.asos-media.com/products/calvin-klein-long-sleeve-t-shirt-in-white/205191578-1-brightwhite,tshirts,USD,63,58.59,bright white,regular fit, cotton,male,usa,usa,Calvin Klein,Asos,"XS, S, M, L, XL",L/ M/ XS/ XL/ S,XS,XL,basic,medium,0,1,1,1,1,1,0,0,0,0,0
204341338,Calvin Klein CK 96 loungewear sweatpants in gray,images.asos-media.com/products/calvin-klein-ck-96-loungewear-sweatpants-in-gray/204341338-1-grey,nightwear,USD,70,65.1,gray,regular fit, cotton,male,usa,usa,Calvin Klein,Asos,"XS, S, M, L, XL, 2XL",M/ L/ XS/ XL/ S/2XL,XS,2XL,basic,high,0,1,1,1,1,1,1,0,0,0,0
204341492,Calvin Klein CK96 loungewear sweatshirt in gray,images.asos-media.com/products/calvin-klein-ck96-loungewear-sweatshirt-in-gray/204341492-1-grey,nightwear,USD,76,70.68,gray,regular fit, cotton,male,usa,usa,Calvin Klein,Asos,"XS, S, M, L, XL, 2XL",M/ L/ XS/ XL/ S/2XL,XS,2XL,basic,medium,0,1,1,1,1,1,1,0,0,0,0
204341492,Calvin Klein CK 96 loungewear sweatshirt in grey,images.asos-media.com/products/calvin-klein-ck-96-loungewear-sweatshirt-in-grey/204341492-1-grey,nightwear,CNY,420.94,54.722,grey,regular fit, cotton,male,china,asia,Calvin Klein,Asos,"S, M, L, XL, 2XL",M/ L/ XL/ S/2XL,S,2XL,basic,medium,0,0,1,1,1,1,1,0,0,0,0
204341499,Calvin Klein lounge sweatshirt with logo in black,images.asos-media.com/products/calvin-klein-lounge-sweatshirt-with-logo-in-black/204341499-1-black,nightwear,USD,82,76.26,black,regular fit, cotton   polyester   elastane,male,usa,usa,Calvin Klein,Asos,"S, M, L", S/ L/M,S,L,casual,high,0,0,1,1,1,0,0,0,0,0,0
204341531,Calvin Klein CK 96 lounge T-shirt in gray,images.asos-media.com/products/calvin-klein-ck-96-lounge-t-shirt-in-gray/204341531-1-grey,tshirts,USD,45,41.85,gray,regular fit, cotton,male,usa,usa,Calvin Klein,Asos,"S, M, L, XL", S/ XL/ L/M,S,XL,basic,medium,0,0,1,1,1,1,0,0,0,0,0
204341531,Calvin Klein CK 96 lounge t shirt in grey,images.asos-media.com/products/calvin-klein-ck-96-lounge-t-shirt-in-grey/204341531-1-grey,tshirts,CNY,264.86,34.432,grey,regular fit, cotton,male,china,asia,Calvin Klein,Asos,"S, M, L, XL", S/ XL/ L/M,S,XL,basic,medium,0,0,1,1,1,1,0,0,0,0,0
204706394,Calvin Klein comfort fit t-shirt in beige,images.asos-media.com/products/calvin-klein-comfort-fit-t-shirt-in-beige/204706394-1-beige,tshirts,USD,60,55.8,beige,regular fit, cotton,male,usa,usa,Calvin Klein,Asos,"XS, S, M, L, XL, 2XL, 3XL",M/ L/ XS/ XL/ S/2XL/ 3XL,XS,3XL,casual,high,0,1,1,1,1,1,1,1,0,0,0
204706394,Calvin Klein comfort fit t-shirt in beige,images.asos-media.com/products/calvin-klein-comfort-fit-t-shirt-in-beige/204706394-1-beige,tshirts,CNY,331.08,43.04,beige,regular fit, cotton,male,china,asia,Calvin Klein,Asos,"XS, S, M, L, XL, 2XL, 3XL",M/ L/ XS/ XL/ S/2XL/ 3XL,XS,3XL,casual,high,0,1,1,1,1,1,1,1,0,0,0
205103600,Calvin Klein double flock logo t-shirt in black,images.asos-media.com/products/calvin-klein-double-flock-logo-t-shirt-in-black/205103600-1-ckblack,tshirts,USD,63,58.59,ck black,regular fit, cotton,male,usa,usa,Calvin Klein,Asos,"XS, S, M, L, XL, 2XL",M/ L/ XS/ XL/ S/2XL,XS,2XL,casual,high,0,1,1,1,1,1,1,0,0,0,0
205103600,Calvin Klein double flock logo t-shirt in black,images.asos-media.com/products/calvin-klein-double-flock-logo-t-shirt-in-black/205103600-1-ckblack,tshirts,CNY,354.72,46.114,black,regular fit, cotton,male,china,asia,Calvin Klein,Asos,"XS, S, M, L, XL, 2XL",M/ L/ XS/ XL/ S/2XL,XS,2XL,casual,high,0,1,1,1,1,1,1,0,0,0,0
205110328,Calvin Klein Jeans monogram logo regular T-shirt in black,images.asos-media.com/products/calvin-klein-jeans-monogram-logo-regular-t-shirt-in-black/205110328-1-ckblack,tshirts,USD,47,43.71,ck black,regular fit, cotton,male,usa,usa,Calvin Klein Jeans,Asos,"XXS, XS, S, M, L, XL, 2XL, 3XL",M/ L/ XS/ XXS/ XL/ S/2XL/ 3XL,XXS,3XL,casual,high,1,1,1,1,1,1,1,1,0,0,0
